sent_at_unix_ns,latency_us,status
1775317818006816764,4250,ok
1775317818011077648,1625,ok
1775317818011129251,1729,ok
1775317818009035996,7003,ok
1775317818013934878,3367,ok
1775317818015025910,3116,ok
1775317818012170467,6118,ok
1775317818017150236,2082,ok
1775317818020313280,1978,ok
1775317818023369886,3824,ok
1775317818025552364,2006,ok
1775317818024470006,3629,ok
1775317818027612642,3592,ok
1775317818027550054,3749,ok
1775317818026640911,4677,ok
1775317818030324274,2260,ok
1775317818031203720,3595,ok
1775317818032469341,4065,ok
1775317818038675490,2883,ok
1775317818042638941,2561,ok
1775317818045194116,2486,ok
1775317818044799906,3070,ok
1775317818047358221,1539,ok
1775317818051046085,2225,ok
1775317818054348178,4600,ok
1775317818058504483,1880,ok
1775317818062457372,3244,ok
1775317818064642513,1992,ok
1775317818063550145,3455,ok
1775317818065701685,1774,ok
1775317818066639387,1765,ok
1775317818069487605,1442,ok
1775317818068408161,3447,ok
1775317818070587829,1849,ok
1775317818071865585,3311,ok
1775317818073510508,1851,ok
1775317818074601644,1575,ok
1775317818075230177,1528,ok
1775317818075174962,4308,ok
1775317818080557637,4243,ok
1775317818082721539,2801,ok
1775317818086594476,2959,ok
1775317818090631039,1688,ok
1775317818090766033,1654,ok
1775317818090703257,2736,ok
1775317818091721340,4063,ok
1775317818101922396,4666,ok
1775317818103013685,3652,ok
1775317818106175368,2114,ok
1775317818107741300,4801,ok
1775317818110467085,3395,ok
1775317818112539170,2578,ok
1775317818113634983,1860,ok
1775317818114936244,2158,ok
1775317818118247342,3054,ok
1775317818118173590,3729,ok
1775317818119254395,3748,ok
1775317818121285883,3501,ok
1775317818123005035,2365,ok
1775317818124089769,2094,ok
1775317818124838622,2121,ok
1775317818124784029,3766,ok
1775317818125353663,3998,ok
1775317818128038976,2181,ok
1775317818131292788,2959,ok
1775317818133447431,1791,ok
1775317818134249986,3659,ok
1775317818136320267,1895,ok
1775317818137412846,3928,ok
1775317818139298772,3478,ok
1775317818142419581,1621,ok
1775317818143858605,1768,ok
1775317818145120901,1897,ok
1775317818146733649,1736,ok
1775317818147013994,2168,ok
1775317818149170114,1978,ok
1775317818152231405,1832,ok
1775317818153321491,2433,ok
1775317818151134636,4813,ok
1775317818157025091,3772,ok
1775317818159180774,2751,ok
1775317818159206120,3398,ok
1775317818160795523,2286,ok
1775317818160854280,3525,ok
1775317818160294332,4371,ok
1775317818165798275,2227,ok
1775317818165741099,2559,ok
1775317818166845529,3434,ok
1775317818171358901,1778,ok
1775317818172451817,2868,ok
1775317818175281356,1641,ok
1775317818176925206,2378,ok
1775317818178010955,3394,ok
1775317818180387051,1796,ok
1775317818184324747,1455,ok
1775317818188922887,3293,ok
1775317818192178101,2062,ok
1775317818191086204,3996,ok
1775317818193320111,2731,ok
1775317818194246891,2159,ok
1775317818196406771,2476,ok
1775317818198579036,2993,ok
1775317818197488575,4121,ok
1775317818201117768,3060,ok
1775317818204168518,1900,ok
1775317818202654983,3795,ok
1775317818208608766,1995,ok
1775317818207525827,4108,ok
1775317818213777972,2432,ok
1775317818218408727,1806,ok
1775317818218351263,2043,ok
1775317818221529465,4983,ok
1775317818225692954,1976,ok
1775317818227592735,3390,ok
1775317818228751738,2593,ok
